Year	Alabama	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District Of Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
1922	2434	360	1772	3991	965	1431	214	450	1044	2965	436	6958	2965	2428	1799	2450	1871	778	1509	4010	3942	2451	1836	3437	543	1312	81	451	3380	375	10589	2700	647	6054	2140	814	8982	644	1692	660	2424	4955	467	354	2412	1415	1498	2761	208
1923	2464	371	1784	4270	984	1455	215	453	1097	2954	436	7068	3042	2425	1808	2480	1903	781	1521	4057	4063	2487	1858	3454	538	1321	82	453	3472	382	10752	2761	648	6183	2159	833	9148	656	1699	669	2463	5077	474	354	2423	1433	1526	2803	211
1924	2501	382	1800	4541	1014	1481	219	456	1160	2920	434	7215	3086	2420	1807	2531	1939	788	1537	4102	4214	2521	1886	3508	538	1333	84	457	3573	390	10953	2830	642	6319	2179	856	9383	669	1710	673	2502	5210	481	355	2426	1467	1577	2833	215
1925	2534	393	1812	4730	1019	1506	222	461	1264	2883	436	7306	3119	2427	1825	2520	1972	792	1556	4154	4331	2540	1910	3526	535	1343	85	459	3664	396	11186	2895	643	6434	2216	883	9478	680	1718	682	2531	5332	487	355	2423	1494	1593	2863	216
1926	2567	403	1826	4929	1016	1531	225	469	1368	2869	441	7395	3148	2432	1836	2545	2005	793	1576	4194	4451	2560	1935	3556	531	1353	87	463	3758	403	11257	2959	651	6504	2256	905	9594	681	1726	683	2553	5453	494	356	2419	1516	1623	2892	217
1927	2609	414	1840	5147	1028	1557	229	476	1418	2891	447	7519	3191	2441	1836	2551	2039	796	1599	4223	4589	2588	1962	3576	527	1365	88	466	3891	410	11174	3027	657	6577	2306	925	9745	677	1736	682	2608	5577	500	357	2433	1538	1671	2916	219
1928	2640	422	1847	5344	1014	1577	233	479	1433	2903	449	7576	3212	2450	1850	2567	2064	797	1610	4217	4665	2592	1981	3601	541	1371	89	468	3968	416	11599	3082	665	6608	2344	936	9802	678	1739	685	2624	5675	504	358	2435	1551	1696	2923	220
1929	2644	430	1852	5531	1008	1594	236	483	1445	2903	447	7606	3226	2460	1867	2606	2086	797	1621	4229	4795	2572	1998	3622	524	1375	90	467	3989	420	12171	3133	674	6626	2372	947	9723	684	1739	690	2604	5762	508	359	2425	1555	1717	2934	223
1930	2647	434	1859	5711	1040	1613	239	488	1471	2910	447	7644	3242	2475	1883	2623	2105	800	1636	4250	4834	2576	2006	3646	539	1380	92	466	4068	427	12647	3167	682	6662	2401	956	9649	686	1745	693	2619	5844	509	360	2427	1568	1733	2950	226
1931	2649	429	1848	5824	1056	1628	242	504	1493	2924	454	7687	3257	2482	1881	2652	2124	807	1657	4248	4798	2614	1994	3711	540	1384	94	470	4120	436	12848	3184	680	6694	2403	966	9707	681	1753	694	2657	5907	513	359	2445	1581	1740	2990	229
