Year	Alabama	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District Of Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
1981	3918.53	2810.11	2293.2	24285.93	2977.9	3128.84	595.98	636.89	10192.77	5568.35	962.2	11443.46	5480.44	2907.98	2384.85	3670.39	4283.3	1133.03	4261.91	5768.69	9209.29	4111.73	2539.04	4932.06	795.33	1578.52	847.66	936.62	7407.47	1332.75	17567.73	5956.65	659.51	10788.33	3096.16	2667.98	11858.57	953.01	3179.26	689.58	4627.66	14746.32	1515.47	515.59	5444.1	4235.73	1954.12	4726.34	491.71
1982	3925.27	2889.86	2294.26	24820.01	3061.56	3139.01	599.15	634.17	10471.41	5649.79	973.72	11423.41	5467.92	2888.19	2401.2	3683.45	4352.61	1136.68	4282.92	5771.22	9115.2	4131.45	2556.78	4929.45	803.99	1581.78	881.54	947.72	7430.97	1363.82	17589.74	6019.1	668.97	10757.09	3206.12	2664.92	11845.15	954.17	3207.61	690.6	4646.04	15331.42	1558.31	519.11	5492.78	4276.55	1949.6	4728.87	506.4
1983	3934.1	2968.93	2305.76	25360.03	3133.63	3162.35	605.46	632.43	10749.85	5728.25	981.87	11408.82	5450.4	2870.54	2415.53	3694.48	4395.32	1144.77	4313.33	5799.41	9047.75	4141.46	2567.72	4943.73	814.03	1584.29	901.98	958.13	7467.79	1394.36	17686.91	6077.06	676.69	10737.63	3290.4	2653.07	11837.72	956.38	3234.07	693.01	4659.75	15751.68	1594.94	523.3	5564.66	4300.27	1945.06	4721.44	510.35
1984	3951.82	3067.14	2319.77	25844.39	3169.99	3180.01	611.57	633.38	11039.93	5834.95	990.84	11412.13	5458.32	2858.62	2424.09	3695.45	4400.48	1155.64	4365.24	5840.77	9049.45	4157.71	2578.05	4975.28	820.91	1588.64	924.92	976.86	7515.47	1416.72	17745.68	6164.01	680.5	10737.75	3285.53	2666.59	11815.17	961.89	3271.87	697.25	4686.74	16007.09	1622.34	526.66	5643.87	4343.66	1927.7	4735.56	504.9
1985	3972.52	3183.54	2327.05	26441.11	3208.72	3201.13	618.28	634.55	11351.12	5962.66	994.05	11399.81	5459.21	2829.68	2427.41	3694.83	4408.12	1162.94	4413.07	5880.73	9076.29	4184.3	2588.1	5000.27	822.32	1584.66	951.03	996.75	7565.53	1438.36	17791.67	6253.95	676.98	10734.93	3271.33	2672.65	11770.86	968.96	3303.21	698.4	4715.3	16272.73	1642.91	530.04	5715.15	4400.1	1906.83	4747.77	499.7
1986	3991.57	3308.26	2331.98	27102.24	3237.45	3223.74	627.56	638.27	11667.51	6084.67	990.22	11387.26	5454.11	2791.97	2432.62	3687.81	4406.92	1170.13	4486.96	5902.68	9127.78	4205.21	2593.6	5023.07	813.74	1574.33	980.61	1025.05	7622.16	1462.73	17833.42	6321.58	669.51	10730.27	3252.74	2683.53	11782.75	977.34	3342.76	696.03	4738.71	16561.11	1662.83	534.07	5811.7	4452.72	1882.35	4755.62	495.63
1987	4015.26	3437.1	2342.36	27777.16	3260.48	3247.29	636.95	636.93	11997.28	6208.47	985	11391.18	5473.01	2767.01	2445.37	3683.33	4344.15	1184.57	4565.56	5935.2	9187.48	4235.14	2588.55	5056.7	805.06	1566.55	1023.38	1054.29	7670.74	1478.52	17868.85	6403.7	661.14	10760.09	3210.12	2700.99	11810.87	989.6	3380.51	696.04	4782.93	16621.79	1678.12	540.27	5932.27	4531.9	1857.59	4777.92	476.97
1988	4023.84	3535.18	2342.66	28464.25	3262.28	3271.95	647.62	630.43	12306.4	6316.14	985.66	11390.18	5491.74	2768.39	2462	3680	4288.86	1203.84	4657.9	5979.98	9218	4296.17	2580.35	5081.74	800.2	1571.48	1075.02	1082.58	7712.33	1490.34	17941.31	6480.59	655.33	10798.55	3167.06	2741.3	11845.75	996.41	3412.1	698.17	4822.44	16667.02	1689.37	549.76	6036.91	4639.89	1830.22	4822.39	465.1
1989	4030.22	3622.19	2346.36	29218.16	3275.82	3283.4	658.27	624.17	12637.72	6411.1	994.42	11409.78	5523.69	2770.59	2472.85	3677.31	4252.89	1219.96	4727.3	6015.48	9253.3	4338.06	2574.27	5095.83	799.64	1574.86	1137.38	1104.52	7726.09	1503.9	17983.09	6565.46	646.35	10829.22	3150.31	2790.58	11866	1000.67	3456.78	696.7	4854.44	16806.74	1705.86	557.71	6120.25	4746.32	1806.57	4856.57	458.37
1990	4050.05	3684.1	2356.59	29959.52	3307.62	3291.97	669.57	605.32	13033.31	6512.6	1012.38	11453.32	5557.8	2781.02	2481.35	3694.05	4221.53	1231.72	4799.77	6022.64	9311.32	4389.86	2578.9	5128.88	800.2	1581.66	1220.69	1112.38	7762.96	1521.57	18020.78	6664.02	637.68	10864.16	3148.82	2860.38	11903.3	1005.99	3501.16	697.1	4894.49	17056.76	1731.22	564.8	6212.24	4903.04	1792.55	4904.56	453.69
1991	4099.16	3788.58	2383.14	30470.74	3387.12	3302.9	683.08	600.87	13369.8	6653	1041.32	11568.96	5616.39	2797.61	2498.72	3722.33	4253.28	1237.08	4867.64	6018.47	9400.45	4440.86	2598.73	5170.8	809.68	1595.92	1296.17	1109.93	7814.68	1555.31	18122.51	6784.28	635.75	10945.76	3175.44	2928.51	11982.16	1010.65	3570.4	703.67	4966.59	17398.01	1779.78	568.61	6296.52	5025.62	1798.73	4964.34	459.26
1992	4154.01	3915.74	2415.98	30974.66	3495.94	3300.71	694.93	597.57	13650.55	6817.2	1071.69	11694.18	5674.55	2818.4	2532.39	3765.47	4293	1238.51	4923.37	6028.71	9479.06	4495.57	2623.73	5217.1	825.77	1611.69	1351.37	1117.78	7880.51	1595.44	18246.65	6897.21	638.22	11029.43	3220.52	2991.75	12049.45	1012.58	3620.46	712.8	5049.74	17759.74	1836.8	572.75	6409.72	5160.76	1806.45	5025.4	466.25
1993	4214.2	4065.44	2456.3	31274.93	3613.73	3309.18	706.38	595.3	13927.18	6978.24	1108.77	11809.58	5739.02	2836.97	2556.55	3812.21	4316.43	1242.3	4971.89	6060.57	9540.11	4555.95	2655.1	5271.17	844.76	1625.59	1411.21	1129.46	7948.92	1636.45	18374.95	7042.82	641.22	11101.14	3252.28	3060.37	12119.72	1015.11	3663.31	722.16	5137.58	18161.61	1898.4	577.75	6505.06	5278.84	1817.54	5084.89	473.08
1994	4260.23	4245.09	2494.02	31484.44	3724.17	3316.12	717.54	589.24	14239.44	7157.17	1145.14	11912.58	5793.53	2850.75	2580.51	3849.09	4347.48	1242.66	5023.06	6095.24	9597.74	4610.35	2688.99	5324.5	861.31	1639.04	1499.3	1142.56	8014.31	1682.4	18459.47	7187.4	644.8	11152.45	3280.94	3121.26	12166.05	1015.96	3705.4	730.79	5231.44	18564.06	1960.45	583.84	6588.6	5375.16	1820.42	5133.68	480.28
1995	4296.8	4432.5	2535.4	31696.58	3826.65	3324.14	729.73	580.52	14537.88	7328.41	1177.32	12008.44	5851.46	2867.37	2601.01	3887.43	4378.78	1243.48	5070.03	6141.44	9676.21	4660.18	2722.66	5378.25	876.55	1656.99	1581.58	1157.56	8083.24	1720.39	18524.1	7344.67	647.83	11202.75	3308.21	3184.37	12198.4	1017	3748.58	737.92	5326.94	18958.75	2014.18	589	6666.19	5481.03	1823.7	5184.84	485.16
1996	4331.1	4586.94	2572.11	32018.83	3919.97	3336.69	740.98	572.38	14853.36	7501.07	1203.08	12102	5906.01	2880	2614.55	3919.53	4398.88	1249.06	5111.99	6179.76	9758.64	4712.83	2748.08	5431.55	886.25	1673.74	1666.32	1174.72	8149.6	1752.33	18588.46	7500.67	650.38	11242.83	3340.13	3247.11	12220.46	1020.89	3796.2	742.21	5416.64	19340.34	2067.98	593.7	6746.37	5569.75	1822.81	5229.99	488.17
1997	4367.94	4736.99	2601.09	32486.01	4018.29	3349.35	751.49	567.74	15186.3	7685.1	1228.52	12185.71	5955.27	2891.12	2635.29	3952.75	4421.07	1254.77	5157.33	6226.06	9809.05	4763.39	2777	5481.19	889.86	1686.42	1764.1	1189.43	8218.81	1774.84	18656.54	7656.82	649.72	11277.36	3372.92	3304.31	12227.81	1025.35	3859.7	744.22	5499.23	19740.32	2119.78	597.24	6824.72	5674.75	1819.11	5266.21	489.45
1998	4404.7	4883.34	2626.29	32987.68	4116.64	3365.35	763.33	565.23	15486.56	7863.54	1252.33	12271.85	5998.88	2902.87	2660.6	3985.39	4440.34	1259.13	5204.46	6271.84	9847.94	4813.41	2804.83	5521.77	892.43	1695.82	1853.19	1205.94	8287.42	1793.48	18755.91	7809.12	647.53	11311.54	3405.19	3352.45	12245.67	1031.16	3919.24	746.06	5570.04	20157.53	2165.96	600.42	6896.54	5769.56	1815.61	5297.67	490.79
1999	4430.14	5023.82	2651.86	33499.2	4226.02	3386.4	774.99	570.21	15759.42	8045.96	1275.67	12359.02	6044.97	2917.63	2678.34	4018.05	4460.81	1266.81	5254.51	6317.35	9897.12	4873.48	2828.41	5561.95	897.51	1704.76	1934.72	1222.01	8359.59	1808.08	18882.72	7949.36	644.26	11335.45	3437.15	3393.94	12263.8	1040.4	3974.68	750.41	5638.71	20558.22	2203.48	604.68	6995.8	5842.56	1811.8	5332.67	491.78
2000	4452.17	5160.59	2678.59	33987.98	4326.92	3411.78	786.37	572.05	16047.52	8227.3	1299.43	12434.16	6091.87	2929.07	2693.68	4049.02	4471.89	1277.07	5311.03	6361.1	9952.45	4933.69	2848.35	5607.29	903.77	1713.82	2018.74	1239.88	8430.62	1821.2	19001.78	8081.61	642.02	11363.54	3454.37	3429.71	12284.17	1050.27	4024.22	755.84	5703.72	20944.5	2244.5	609.62	7105.82	5910.51	1807.02	5374	494.3
2001	4467.63	5273.48	2691.57	34479.46	4425.69	3432.84	795.7	574.5	16356.97	8377.04	1319.96	12488.45	6127.76	2932	2702.16	4068.13	4477.88	1285.69	5374.69	6397.63	9991.12	4982.8	2852.99	5641.14	906.96	1719.84	2098.4	1255.52	8492.67	1831.69	19082.84	8210.12	639.06	11387.4	3467.1	3467.94	12298.97	1057.14	4065	757.97	5750.79	21319.62	2283.72	612.22	7198.36	5985.72	1801.48	5406.84	494.66
2002	4480.09	5396.26	2705.93	34871.84	4490.41	3458.75	806.17	573.16	16689.37	8508.26	1340.37	12525.56	6155.97	2934.23	2713.54	4089.88	4497.27	1295.96	5440.39	6417.21	10015.71	5018.94	2858.68	5674.83	911.67	1728.29	2173.79	1269.09	8552.64	1855.31	19137.8	8326.2	638.17	11407.89	3489.08	3513.42	12331.03	1066	4107.8	760.02	5795.92	21690.33	2324.82	615.44	7286.87	6052.35	1805.41	5445.16	500.02
2003	4503.49	5510.36	2724.82	35253.16	4528.73	3484.34	818	568.5	17004.09	8622.79	1363.38	12556.01	6196.64	2942	2723	4117.17	4521.04	1306.51	5496.27	6422.57	10041.15	5053.57	2868.31	5709.4	919.63	1738.64	2248.85	1279.84	8601.4	1877.57	19175.94	8422.5	638.82	11434.79	3504.89	3547.38	12374.66	1071.34	4150.3	763.73	5847.81	22030.93	2360.14	617.86	7366.98	6104.12	1812.3	5479.2	503.45
2004	4530.73	5652.4	2749.69	35574.58	4575.01	3496.09	830.8	567.75	17415.32	8769.25	1391.8	12589.77	6233.01	2953.64	2734.37	4146.1	4552.24	1313.69	5546.94	6412.28	10055.32	5087.71	2889.01	5747.74	930.01	1749.37	2346.22	1290.12	8634.56	1903.81	19171.57	8553.15	644.71	11452.25	3525.23	3569.46	12410.72	1074.58	4210.92	770.4	5910.81	22394.02	2401.58	619.92	7475.58	6178.65	1816.44	5514.03	509.11
2005	4569.81	5839.08	2781.1	35827.94	4631.89	3506.96	845.15	567.14	17842.04	8925.92	1428.24	12609.9	6278.62	2964.45	2745.3	4182.74	4576.63	1318.79	5592.38	6403.29	10051.14	5119.6	2905.94	5790.3	940.1	1761.5	2432.14	1298.49	8651.97	1932.27	19132.61	8705.41	646.09	11463.32	3548.6	3613.2	12449.99	1067.92	4270.15	775.49	5991.06	22778.12	2457.72	621.22	7577.11	6257.31	1820.49	5546.17	514.16
2006	4628.98	6029.14	2821.76	36021.2	4720.42	3517.46	859.27	570.68	18166.99	9155.81	1468.67	12643.96	6332.67	2982.64	2762.93	4219.24	4302.67	1323.62	5627.37	6410.08	10036.08	5163.56	2904.98	5842.7	952.69	1772.69	2522.66	1308.39	8661.68	1962.14	19104.63	8917.27	649.42	11481.21	3594.09	3670.88	12510.81	1063.1	4357.85	783.03	6088.77	23359.58	2525.51	622.89	7673.73	6370.75	1827.91	5577.66	522.67
2007	4672.84	6167.68	2848.65	36250.31	4803.87	3527.27	871.75	574.4	18367.84	9349.99	1505.11	12695.87	6379.6	2999.21	2783.79	4256.67	4375.58	1327.04	5653.41	6431.56	10001.28	5207.2	2928.35	5887.61	964.71	1783.44	2601.07	1312.54	8677.89	1990.07	19132.34	9118.04	652.82	11500.47	3634.35	3722.42	12563.94	1057.32	4444.11	791.62	6175.73	23831.98	2597.75	623.48	7751	6461.59	1834.05	5610.78	534.88
2008	4718.21	6280.36	2874.55	36604.34	4889.73	3545.58	883.87	580.24	18527.31	9504.84	1534.32	12747.04	6424.81	3016.73	2808.08	4289.88	4435.59	1330.51	5684.97	6468.97	9946.89	5247.02	2947.81	5923.92	976.42	1796.38	2653.63	1315.91	8711.09	2010.66	19212.44	9309.45	657.57	11515.39	3668.98	3768.75	12612.29	1055	4529	799.12	6247.41	24309.04	2663.03	624.15	7833.5	6562.23	1840.31	5641	546.04
2009	4757.94	6343.15	2896.84	36961.23	4972.2	3561.81	891.73	592.23	18652.64	9620.85	1554.44	12796.78	6459.33	3032.87	2832.7	4317.07	4491.65	1329.59	5730.39	6517.61	9901.59	5281.2	2958.77	5961.09	983.98	1812.68	2684.67	1316.1	8755.6	2036.8	19307.07	9449.57	664.97	11528.9	3717.57	3808.6	12666.86	1053.65	4589.87	807.07	6306.02	24801.76	2723.42	624.82	7925.94	6667.43	1847.78	5669.26	559.85
2010	4785.49	6408.31	2922	37332.69	5048.64	3579.9	899.82	605.18	18849.1	9713.52	1571.01	12841.58	6490.53	3050.74	2858.85	4348.66	4545	1327.73	5788.58	6565.52	9877.5	5311.15	2970.32	5996.12	990.64	1830.05	2703.28	1316.87	8803.73	2064.76	19402.64	9558.92	674.53	11540.98	3759.6	3838.05	12712.34	1053.34	4635.94	816.33	6356.67	25244.31	2775.33	625.98	8025.77	6743.23	1854.23	5690.26	564.51
2011	4799.92	6467.16	2939.49	37676.86	5118.36	3589.89	907.92	620.48	19096.95	9811.61	1584.14	12860.01	6516.48	3065.22	2869.5	4369.35	4575.4	1328.23	5843.6	6611.92	9876.21	5348.56	2978.16	6010.72	997.82	1842.28	2718.38	1318.47	8841.24	2077.76	19519.53	9650.96	685.48	11544.82	3786.27	3868.03	12744.29	1052.45	4672.64	824.4	6397.63	25646.39	2816.12	626.73	8110.04	6822.52	1854.97	5709.64	567.73
2012	4815.96	6549.63	2950.69	38011.07	5189.87	3593.8	916.99	635.33	19344.16	9914.67	1595.91	12870.8	6537.74	3076.31	2885.26	4384.8	4603.43	1328.9	5889.65	6658.01	9887.24	5380.29	2984.95	6025.42	1005.2	1855.73	2752.57	1321.18	8873.21	2083.78	19602.77	9746.18	702.09	11550.84	3817.05	3899.12	12771.85	1052.9	4720.76	834.44	6454.31	26071.66	2855.78	626.44	8192.05	6895.23	1856.56	5726.18	576.77
2013	4829.48	6624.62	2958.66	38335.2	5267.6	3596	925.4	649.17	19582.02	9984.94	1612.01	12879.51	6569.1	3091.93	2892.82	4400.48	4626.4	1329.08	5931.13	6706.79	9898.98	5418.52	2990.48	6042.71	1014.31	1868.56	2786.46	1322.69	8899.16	2085.19	19673.55	9841.59	724.02	11570.02	3852.42	3925.75	12781.34	1053.03	4767.89	844.92	6494.82	26473.53	2902.66	627.14	8262.69	6968.01	1853.23	5742.85	582.68
2014	4843.21	6719.99	2966.91	38680.81	5349.65	3591.87	934.95	659.01	19888.74	10087.23	1633.53	12867.54	6595.23	3108.03	2899.36	4413.06	4647.88	1330.72	5967.3	6749.91	9915.77	5453.11	2992.4	6060.93	1022.87	1881.15	2833.01	1328.74	8925	2083.02	19718.52	9934.4	739.9	11594.41	3877.5	3968.37	12790.57	1054.48	4828.43	852.56	6544.66	26944.75	2941.84	626.98	8317.37	7054.2	1848.51	5758.38	583.64
2015	4853.88	6817.57	2977.85	38993.94	5448.82	3584.73	944.08	670.38	20244.91	10199.4	1652.83	12839.05	6612.77	3122	2906.72	4424.61	4668.96	1329.45	5994.98	6784.24	9917.72	5482.44	2989.39	6076.2	1032.07	1893.77	2883.76	1330.11	8935.42	2080.33	19747.18	10035.19	756.84	11605.09	3907.41	4024.63	12791.9	1055.61	4894.83	857.92	6595.06	27429.64	2990.63	626.09	8367.59	7160.29	1841.05	5767.89	586.56
2016	4863.3	6931.07	2988.25	39250.02	5540.55	3576.45	952.07	681.17	20612.44	10310.37	1683.14	12801.54	6633.05	3134.69	2907.29	4436.97	4681.67	1331.48	6016.45	6811.78	9928.3	5519.95	2988.73	6093	1042.52	1907.12	2940.06	1334.8	8944.47	2081.02	19745.29	10146.79	757.95	11614.37	3923.56	4093.47	12784.23	1056.43	4961.12	865.45	6651.19	27862.6	3051.22	624.59	8411.81	7288	1831.1	5778.71	585.5
